[run number];gui-death_rate;[step];getViability;getRemainingCellRatio;getSeed
1;1.001;216;94;100;40
3;1.001;216;94;100;90
2;1.001;216;94;100;38
4;1.001;216;94;100;140
5;1.001;216;94;100;125
6;1.005;216;64.08;100;132
7;1.005;216;63.36;100;91
8;1.005;216;63.84;100;112
9;1.005;216;64.36;100;279
10;1.005;216;65.16;100;120
11;1.006;216;51.92;100;418
12;1.006;216;51.16;100;324
13;1.006;216;52.72;100;208
14;1.006;216;50.32;100;434
15;1.006;216;50.68;100;465
16;1.007;216;41.9599999999999;100;288
17;1.007;216;42;100;68
19;1.007;216;41.24;100;703
18;1.007;216;40.36;100;0
20;1.007;216;40.4;100;240
21;1.008;216;36.3230700580098;89.64;0
22;1.008;216;36.2959719789842;91.36;484
23;1.008;216;36.235708003518;90.96;230
24;1.008;216;38.8276773909211;90.7599999999999;480
25;1.008;216;37.0071684587813;89.28;75
26;1.009;216;36.9495166487647;74.48;910
27;1.009;216;35.9056806002143;74.64;675
28;1.009;216;37.5;73.6;28
29;1.009;216;37.7338321753073;74.8399999999999;1189
30;1.009;216;36.0515021459227;74.56;150
31;1.01;216;37.2108393919365;60.5199999999999;775
32;1.01;216;33.6977491961414;62.2;1024
33;1.01;216;36.0126582278481;63.2;66
34;1.01;216;35.0623768877216;60.9199999999999;1292
35;1.01;216;36.8863049095607;61.9199999999999;1050
36;1.015;216;33.3333333333333;21.24;540
37;1.015;216;32.9181494661921;22.48;925
38;1.015;216;35.1648351648351;21.84;570
39;1.015;216;34.2960288808664;22.16;819
40;1.015;216;34.8623853211009;21.8;1400
41;1.02;216;38.2488479262672;8.68;697
42;1.02;216;33.9901477832512;8.12;1302
43;1.02;216;35.5555555555555;7.19999999999999;0
44;1.02;216;36.9458128078817;8.12;352
45;1.02;216;35.8695652173913;7.35999999999999;270
