[run number];gui-apoptosisDuration;gui-death_rate;getViability;getRemainingCellRatio
1025;12;1.005;64.81105242;98.44
1027;12;1.007;64.89361702;63.92
1029;12;1.01;68.83886256;33.76
1031;12;1.02;61.53846154;3.64
1058;24;1.005;63.8;100
1059;24;1.007;54.98409332;75.44
1061;24;1.01;59.34627171;39.16
1064;24;1.02;51.85185185;4.32
1089;36;1.005;63.8;100
1091;36;1.007;48.00925926;86.4
1093;36;1.01;51.59857904;45.04
1095;36;1.02;44.09448819;5.08
1121;48;1.005;63.8;100
1123;48;1.007;42.95774648;96.56
1125;48;1.01;45.64021995;50.92
1127;48;1.02;37.33333333;6
