BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
ABM_Probabilistic.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
07/24/2020 10:58:45:499 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-DeathThreshold;gui-BlockedApoptosisThreshold;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio;getSeed
2;-1000;200;30;216;0;97.2;0
3;-1000;200;50;216;0;97.24;0
1;-1000;200;20;216;0;97.16;0
4;-1000;200;100;216;0;97.28;0
5;-1000;400;20;216;0;97.16;0
7;-1000;400;50;216;0;97.24;0
6;-1000;400;30;216;0;97.2;0
8;-1000;400;100;216;0;97.28;0
9;-1000;600;20;216;28.7772745986002;97.16;0
10;-1000;600;30;216;28.7654320987654;97.2;0
11;-1000;600;50;216;28.7535993418346;97.24;0
12;-1000;600;100;216;28.7417763157894;97.28;0
13;-1000;800;20;216;46.191848497324;97.16;0
14;-1000;800;30;216;46.1728395061728;97.2;0
15;-1000;800;50;216;46.1538461538461;97.24;0
16;-1000;800;100;216;46.1348684210526;97.28;0
17;-1000;1000;20;216;56.1136270069987;97.16;0
18;-1000;1000;30;216;56.0905349794238;97.2;0
19;-1000;1000;50;216;56.0674619498148;97.24;0
20;-1000;1000;100;216;56.0444078947368;97.28;0
21;-800;200;20;216;0;97;0
22;-800;200;30;216;0;97.04;0
23;-800;200;50;216;0;97.08;0
24;-800;200;100;216;0;97.16;0
25;-800;400;20;216;0;97;0
26;-800;400;30;216;0;97.04;0
27;-800;400;50;216;0;97.08;0
28;-800;400;100;216;0;97.16;0
29;-800;600;20;216;28.8247422680412;97;0
30;-800;600;30;216;28.8128606760098;97.04;0
31;-800;600;50;216;28.8009888751545;97.08;0
32;-800;600;100;216;28.7772745986002;97.16;0
33;-800;800;20;216;46.2680412371134;97;0
34;-800;800;30;216;46.2489694971145;97.04;0
35;-800;800;50;216;46.2299134734239;97.08;0
36;-800;800;100;216;46.191848497324;97.16;0
37;-800;1000;20;216;56.2061855670103;97;0
38;-800;1000;30;216;56.1830173124484;97.04;0
39;-800;1000;50;216;56.1598681499793;97.08;0
40;-800;1000;100;216;56.1136270069987;97.16;0
41;-600;200;20;216;0;96.6799999999999;0
42;-600;200;30;216;0;96.72;0
43;-600;200;50;216;0;96.72;0
44;-600;200;100;216;0;96.92;0
45;-600;400;20;216;0;96.6799999999999;0
46;-600;400;30;216;0;96.72;0
47;-600;400;50;216;0;96.72;0
48;-600;400;100;216;0;96.92;0
49;-600;600;20;216;28.9201489449731;96.6799999999999;0
50;-600;600;30;216;28.9081885856079;96.72;0
51;-600;600;50;216;28.9081885856079;96.72;0
52;-600;600;100;216;28.8485348741229;96.92;0
53;-600;800;20;216;46.4211832850641;96.6799999999999;0
54;-600;800;30;216;46.4019851116625;96.72;0
55;-600;800;50;216;46.4019851116625;96.72;0
56;-600;800;100;216;46.3062319438712;96.92;0
57;-600;1000;20;216;56.3922217625155;96.6799999999999;0
58;-600;1000;30;216;56.368899917287;96.72;0
59;-600;1000;50;216;56.368899917287;96.72;0
60;-600;1000;100;216;56.2525794469665;96.92;0
61;-400;200;20;216;0;96.04;0
62;-400;200;30;216;0;96.04;0
63;-400;200;50;216;0;96.16;0
64;-400;200;100;216;0;96.36;0
65;-400;400;20;216;0;96.04;0
66;-400;400;30;216;0;96.04;0
67;-400;400;50;216;0;96.16;0
68;-400;400;100;216;0;96.36;0
69;-400;600;20;216;29.1128696376509;96.04;0
70;-400;600;30;216;29.1128696376509;96.04;0
71;-400;600;50;216;29.0765391014975;96.16;0
72;-400;600;100;216;29.0161892901619;96.36;0
73;-400;800;20;216;46.7305289462723;96.04;0
74;-400;800;30;216;46.7305289462723;96.04;0
75;-400;800;50;216;46.6722129783693;96.16;0
76;-400;800;100;216;46.5753424657534;96.36;0
77;-400;1000;20;216;56.76801332778;96.04;0
78;-400;1000;30;216;56.76801332778;96.04;0
79;-400;1000;50;216;56.6971713810316;96.16;0
80;-400;1000;100;216;56.5794935657949;96.36;0
81;-200;200;20;216;0;89.56;0
82;-200;200;30;216;0;94;0
83;-200;200;50;216;0;94.16;0
85;-200;400;20;216;0;91.8;0
84;-200;200;100;216;0;94.64;0
86;-200;400;30;216;0;94;0
87;-200;400;50;216;0;94.16;0
88;-200;400;100;216;0;94.64;0
89;-200;600;20;216;30.3122289679098;92.24;0
90;-200;600;30;216;29.7446808510638;94;0
91;-200;600;50;216;29.6941376380628;94.16;0
92;-200;600;100;216;29.5435333896872;94.64;0
93;-200;800;20;216;48.4037963761863;92.72;0
94;-200;800;30;216;47.7446808510638;94;0
95;-200;800;50;216;47.6635514018691;94.16;0
96;-200;800;100;216;47.4218089602704;94.64;0
97;-200;1000;20;216;58.5481099656357;93.12;0
98;-200;1000;30;216;58;94;0
99;-200;1000;50;216;57.9014443500424;94.16;0
100;-200;1000;100;216;57.607776838546;94.64;0
